interpretation_candidate_id,interpretation_source,embedding_name,algorithm,k,metric,linkage,cluster_id,cluster_size,cluster_share,top_frequent_words,top_distinctive_words,dominant_target,dominant_target_share,target_entropy,target_entropy_normalized,top_targets,is_tiny_cluster,is_giant_cluster,is_label_pure,is_mixed_cluster,interpretation_note
1,geometry,word2vec_proxy_glove,spectral,10,,,0,6796,0.37793348904460017,"would, one, people, like, get, know, time, think, right, year","car, bike, gun, government, right, fbi, law, people, space, engine",rec.motorcycles,0.12772218952324896,3.8463537549831104,0.8899624590083222,"rec.motorcycles:868, rec.autos:860, sci.space:812",False,False,False,True,"Klaster 6796 docs (37.8%); dominant='rec.motorcycles' (0.13) - niska zgodnosc etykiet post-hoc; wysoka entropia etykiet; sygnatura: car, bike, gun, government."
1,geometry,word2vec_proxy_glove,spectral,10,,,1,10,0.0005561116672227783,"ax, max, pl, di, tm, ei, giz, bhj, wm, ey","ax, max, di, pl, wm, giz, bhj, ei, tm, bxn",comp.os.ms-windows.misc,1.0,0.0,0.0,comp.os.ms-windows.misc:10,False,False,True,False,"Klaster 10 docs (0.1%); dominant='comp.os.ms-windows.misc' (1.00) - wysoka zgodnosc etykiet post-hoc; sygnatura: ax, max, di, pl."
1,geometry,word2vec_proxy_glove,spectral,10,,,2,1594,0.08864419975531086,"game, team, year, player, would, one, get, time, think, season","game, team, player, year, season, hockey, play, baseball, win, fan",rec.sport.hockey,0.48055207026348806,1.402543520714639,0.3245180137017508,"rec.sport.hockey:766, rec.sport.baseball:751, rec.motorcycles:16",False,False,False,False,"Klaster 1594 docs (8.9%); dominant='rec.sport.hockey' (0.48) - srednia zgodnosc etykiet post-hoc; sygnatura: game, team, player, year."
1,geometry,word2vec_proxy_glove,spectral,10,,,3,29,0.001612723834946057,"db, cx, hz, ww, uw, pl, ck, mw, mv, lk","vv, ff, cx, tt, mv, sp, db, mw, oops, mj",comp.os.ms-windows.misc,0.3103448275862069,3.10302054719367,0.7179713496076895,"comp.os.ms-windows.misc:9, comp.sys.mac.hardware:5, sci.crypt:3",False,False,False,False,"Klaster 29 docs (0.2%); dominant='comp.os.ms-windows.misc' (0.31) - niska zgodnosc etykiet post-hoc; sygnatura: vv, ff, cx, tt."
1,geometry,word2vec_proxy_glove,spectral,10,,,4,631,0.035090646201757315,"drug, one, patient, disease, would, medical, use, cancer, also, health","disease, patient, drug, msg, doctor, food, treatment, dsl, effect, jxp",sci.med,0.9144215530903328,0.7019098576545315,0.1624066486633264,"sci.med:577, talk.politics.misc:14, sci.space:7",False,False,True,False,"Klaster 631 docs (3.5%); dominant='sci.med' (0.91) - wysoka zgodnosc etykiet post-hoc; sygnatura: disease, patient, drug, msg."
1,geometry,word2vec_proxy_glove,spectral,10,,,5,46,0.0025581136692247805,"pit, det, period, bos, tor, chi, pp, la, van, buf","pit, period, pt, det, pp, nyi, tor, bos, buf, nyr",rec.sport.hockey,0.9565217391304348,0.25801866866193013,0.05969989851685734,"rec.sport.hockey:44, rec.sport.baseball:2",False,False,True,False,"Klaster 46 docs (0.3%); dominant='rec.sport.hockey' (0.96) - wysoka zgodnosc etykiet post-hoc; sygnatura: pit, period, pt, det."
1,geometry,word2vec_proxy_glove,spectral,10,,,6,501,0.027861194527861195,"armenian, people, turkish, israel, jew, muslim, arab, one, israeli, would","armenian, israel, arab, israeli, muslim, jew, turkish, palestinian, war, jewish",talk.politics.mideast,0.936127744510978,0.5177167658225327,0.11978838019886708,"talk.politics.mideast:469, alt.atheism:7, soc.religion.christian:6",False,False,True,False,"Klaster 501 docs (2.8%); dominant='talk.politics.mideast' (0.94) - wysoka zgodnosc etykiet post-hoc; sygnatura: armenian, israel, arab, israeli."
1,geometry,word2vec_proxy_glove,spectral,10,,,7,23,0.0012790568346123903,"st, comic, wolverine, appears, copy, art, man, new, hulk, cover","comic, wolverine, hulk, st, copy, sabretooth, liefeld, spider, bagged, man",misc.forsale,0.9565217391304348,0.25801866866193013,0.05969989851685734,"misc.forsale:22, comp.graphics:1",False,False,True,False,"Klaster 23 docs (0.1%); dominant='misc.forsale' (0.96) - wysoka zgodnosc etykiet post-hoc; sygnatura: comic, wolverine, hulk, st."
1,geometry,word2vec_proxy_glove,spectral,10,,,8,2267,0.12607051495940386,"god, one, would, people, christian, say, jesus, think, know, believe","god, christian, jesus, bible, church, religion, believe, belief, christ, people",soc.religion.christian,0.3775915306572563,2.599571026053652,0.6014840989901757,"soc.religion.christian:856, alt.atheism:518, talk.religion.misc:392",False,False,False,False,"Klaster 2267 docs (12.6%); dominant='soc.religion.christian' (0.38) - niska zgodnosc etykiet post-hoc; sygnatura: god, christian, jesus, bible."
1,geometry,word2vec_proxy_glove,spectral,10,,,9,6085,0.33839394950506063,"file, window, use, one, system, edu, would, get, program, image","window, file, card, drive, thanks, program, software, do, disk, system",comp.windows.x,0.14642563681183238,3.289882202911021,0.7612070656156442,"comp.windows.x:891, comp.sys.ibm.pc.hardware:875, comp.os.ms-windows.misc:833",False,False,False,True,"Klaster 6085 docs (33.8%); dominant='comp.windows.x' (0.15) - niska zgodnosc etykiet post-hoc; wysoka entropia etykiet; sygnatura: window, file, card, drive."
2,geometry,tfidf_var_n_components_50,spectral,30,,,0,1110,0.06173526140155729,"god, one, jesus, christian, would, people, say, church, christ, bible","god, christian, jesus, church, bible, christ, sin, believe, faith, belief",soc.religion.christian,0.6063063063063063,1.765702392539406,0.4085450645576794,"soc.religion.christian:673, talk.religion.misc:210, alt.atheism:155",False,False,False,False,"Klaster 1110 docs (6.2%); dominant='soc.religion.christian' (0.61) - srednia zgodnosc etykiet post-hoc; sygnatura: god, christian, jesus, church."
2,geometry,tfidf_var_n_components_50,spectral,30,,,1,550,0.030589543937708564,"year, player, would, team, game, run, one, good, hit, think","player, team, hit, pitcher, year, run, league, hitter, game, ball",rec.sport.baseball,0.8418181818181818,1.0367217766861898,0.23987483223346145,"rec.sport.baseball:463, rec.sport.hockey:48, talk.politics.misc:5",False,False,True,False,"Klaster 550 docs (3.1%); dominant='rec.sport.baseball' (0.84) - wysoka zgodnosc etykiet post-hoc; sygnatura: player, team, hit, pitcher."
2,geometry,tfidf_var_n_components_50,spectral,30,,,2,44,0.002447163515016685,"nasa, people, real, world, mary, live, dryden, ames, shafer, safety","shafer, dryden, mary, insisting, ames, nasa, safety, perfect, live, ball",sci.space,0.5909090909090909,2.1564577970221395,0.49895735182941325,"sci.space:26, comp.os.ms-windows.misc:5, talk.politics.misc:3",False,False,False,False,"Klaster 44 docs (0.2%); dominant='sci.space' (0.59) - srednia zgodnosc etykiet post-hoc; sygnatura: shafer, dryden, mary, insisting."
2,geometry,tfidf_var_n_components_50,spectral,30,,,3,85,0.004727474972191324,"bank, pitt, edu, gordon, geb, surrender, shameful, dsl, skepticism, cadre","pitt, geb, shameful, dsl, jxp, chastity, cadre, skepticism, intellect, surrender",sci.med,0.8941176470588236,0.7200100123187401,0.16659463010744627,"sci.med:76, talk.religion.misc:3, rec.sport.hockey:2",False,False,True,False,"Klaster 85 docs (0.5%); dominant='sci.med' (0.89) - wysoka zgodnosc etykiet post-hoc; sygnatura: pitt, geb, shameful, dsl."
2,geometry,tfidf_var_n_components_50,spectral,30,,,4,975,0.05422691879866518,"window, file, program, do, use, server, get, application, one, system","window, program, server, application, do, running, run, widget, motif, font",comp.windows.x,0.5323076923076923,1.9789584736463,0.4578878755496452,"comp.windows.x:519, comp.os.ms-windows.misc:283, comp.graphics:58",False,False,False,False,"Klaster 975 docs (5.4%); dominant='comp.windows.x' (0.53) - srednia zgodnosc etykiet post-hoc; sygnatura: window, program, server, application."
2,geometry,tfidf_var_n_components_50,spectral,30,,,5,512,0.028476084538375974,"would, fbi, fire, koresh, one, people, batf, know, child, think","fbi, koresh, batf, fire, child, compound, gas, bd, warrant, tank",talk.politics.guns,0.525390625,2.3834615578495053,0.5514810763901945,"talk.politics.guns:269, talk.politics.misc:88, talk.religion.misc:68",False,False,False,False,"Klaster 512 docs (2.8%); dominant='talk.politics.guns' (0.53) - srednia zgodnosc etykiet post-hoc; sygnatura: fbi, koresh, batf, fire."
2,geometry,tfidf_var_n_components_50,spectral,30,,,6,492,0.027363737486095663,"bike, one, like, get, would, ride, time, back, riding, well","bike, ride, dod, riding, motorcycle, dog, helmet, road, rider, rear",rec.motorcycles,0.9369918699186992,0.5024369759600953,0.11625296972303972,"rec.motorcycles:461, rec.autos:14, sci.electronics:4",False,False,True,False,"Klaster 492 docs (2.7%); dominant='rec.motorcycles' (0.94) - wysoka zgodnosc etykiet post-hoc; sygnatura: bike, ride, dod, riding."
2,geometry,tfidf_var_n_components_50,spectral,30,,,7,411,0.0228587319243604,"israel, israeli, arab, jew, would, people, palestinian, jewish, one, right","israel, arab, israeli, jew, palestinian, jewish, peace, adam, war, state",talk.politics.mideast,0.9221411192214112,0.586037519921494,0.13559631420401205,"talk.politics.mideast:379, alt.atheism:11, soc.religion.christian:7",False,False,True,False,"Klaster 411 docs (2.3%); dominant='talk.politics.mideast' (0.92) - wysoka zgodnosc etykiet post-hoc; sygnatura: israel, arab, israeli, jew."
